t_h,price_yuan_per_kwh,load_kw,pv_kw,g_kwh,c_kwh,d_kwh,w_kwh
0.166667,0.424800,3439.846600,0.000000,1406.641100,833.333333,0.000000,0.000000
0.333333,0.424500,3437.979200,0.000000,1406.329867,833.333333,0.000000,0.000000
0.500000,0.426900,3444.303100,0.000000,1407.383850,833.333333,0.000000,0.000000
0.666667,0.427200,3454.443700,0.000000,1409.073950,833.333333,0.000000,0.000000
0.833333,0.427100,3458.827300,0.000000,1409.804550,833.333333,0.000000,0.000000
1.000000,0.428500,3459.840100,0.000000,576.640017,0.000000,0.000000,0.000000
1.166667,0.431100,3467.158200,0.000000,577.859700,0.000000,0.000000,0.000000
1.333333,0.430200,3467.963200,0.000000,577.993867,0.000000,0.000000,0.000000
1.500000,0.427900,3466.968300,0.000000,911.161383,333.333333,0.000000,0.000000
1.666667,0.431200,3482.492700,0.000000,580.415450,0.000000,0.000000,0.000000
1.833333,0.433300,3495.084100,0.000000,582.514017,0.000000,0.000000,0.000000
2.000000,0.431100,3498.444300,0.000000,583.074050,0.000000,0.000000,0.000000
2.166667,0.429300,3505.229500,0.000000,584.204917,0.000000,0.000000,0.000000
2.333333,0.432400,3512.638700,0.000000,585.439783,0.000000,0.000000,0.000000
2.500000,0.436700,3516.868500,0.000000,586.144750,0.000000,0.000000,0.000000
2.666667,0.434800,3517.924600,0.000000,586.320767,0.000000,0.000000,0.000000
2.833333,0.433500,3518.551800,0.000000,586.425300,0.000000,0.000000,0.000000
3.000000,0.435700,3521.097600,0.000000,586.849600,0.000000,0.000000,0.000000
3.166667,0.437400,3526.926100,0.000000,587.821017,0.000000,0.000000,0.000000
3.333333,0.437100,3537.285400,0.000000,589.547567,0.000000,0.000000,0.000000
3.500000,0.435600,3544.880800,0.000000,590.813467,0.000000,0.000000,0.000000
3.666667,0.435300,3541.278700,0.000000,590.213117,0.000000,0.000000,0.000000
3.833333,0.436000,3546.397600,0.000000,591.066267,0.000000,0.000000,0.000000
4.000000,0.437800,3560.207000,0.000000,593.367833,0.000000,0.000000,0.000000
4.166667,0.440100,3561.958100,0.000000,593.659683,0.000000,0.000000,0.000000
4.333333,0.438900,3556.718300,0.000000,592.786383,0.000000,0.000000,0.000000
4.500000,0.436400,3560.027200,0.000000,593.337867,0.000000,0.000000,0.000000
4.666667,0.439300,3580.654000,0.599400,596.675767,0.000000,0.000000,0.000000
4.833333,0.442200,3586.916000,0.234500,597.780250,0.000000,0.000000,0.000000
5.000000,0.439500,3571.263500,0.288500,595.162500,0.000000,0.000000,0.000000
5.166667,0.433300,3562.317100,18.678100,590.606500,0.000000,0.000000,0.000000
5.333333,0.443900,3591.380900,54.469800,589.485183,0.000000,0.000000,0.000000
5.500000,0.430100,3579.704500,108.971800,578.455450,0.000000,0.000000,0.000000
5.666667,0.371300,3486.119000,184.160300,1383.659783,833.333333,0.000000,0.000000
5.833333,0.570800,3823.899400,277.058200,591.140200,0.000000,-0.000000,0.000000
6.000000,0.909900,4398.072700,388.549400,0.000000,0.000000,668.253883,0.000000
6.166667,0.936800,4454.012300,521.280300,0.000000,0.000000,655.455333,0.000000
6.333333,0.875800,4371.791900,672.767700,0.000000,0.000000,616.504033,0.000000
6.500000,0.875900,4392.953000,844.226100,0.000000,0.000000,591.454483,0.000000
6.666667,0.860100,4384.595600,1039.674400,0.000000,0.000000,557.486867,0.000000
6.833333,0.844200,4434.775700,1259.337500,0.000000,0.000000,529.239700,0.000000
7.000000,0.833400,4523.456100,1508.631800,0.000000,0.000000,502.470717,0.000000
7.166667,0.809200,4524.072100,1791.410700,0.000000,0.000000,455.443567,0.000000
7.333333,0.797200,4545.886700,2085.486500,0.000000,0.000000,410.066700,0.000000
7.500000,0.764400,4523.241800,2381.261100,0.000000,0.000000,356.996783,0.000000
7.666667,0.689900,4383.356600,2683.175200,0.000000,0.000000,283.363567,0.000000
7.833333,0.860000,4910.459900,2986.355200,0.000000,0.000000,320.684117,0.000000
8.000000,1.161700,5799.732700,3289.204000,0.000000,0.000000,418.421450,0.000000
8.166667,1.168300,5884.826000,3593.361300,0.000000,0.000000,381.910783,0.000000
