t_h,E_kwh
0.000000,6000.000000
0.166667,6750.000000
0.333333,7500.000000
0.500000,8250.000000
0.666667,9000.000000
0.833333,9750.000000
1.000000,9750.000000
1.166667,9750.000000
1.333333,9750.000000
1.500000,10050.000000
1.666667,10050.000000
1.833333,10050.000000
2.000000,10050.000000
2.166667,10050.000000
2.333333,10050.000000
2.500000,10050.000000
2.666667,10050.000000
2.833333,10050.000000
3.000000,10050.000000
3.166667,10050.000000
3.333333,10050.000000
3.500000,10050.000000
3.666667,10050.000000
3.833333,10050.000000
4.000000,10050.000000
4.166667,10050.000000
4.333333,10050.000000
4.500000,10050.000000
4.666667,10050.000000
4.833333,10050.000000
5.000000,10050.000000
5.166667,10050.000000
5.333333,10050.000000
5.500000,10050.000000
5.666667,10800.000000
5.833333,10800.000000
6.000000,10057.495685
6.166667,9329.211981
6.333333,8644.207500
6.500000,7987.035852
6.666667,7367.606000
6.833333,6779.561889
7.000000,6221.261093
7.166667,5715.212685
7.333333,5259.583019
7.500000,4862.919926
7.666667,4548.071519
7.833333,4191.755833
8.000000,3726.843111
8.166667,3302.497796
8.333333,2958.546296
8.500000,2664.524741
8.666667,2427.034963
8.833333,2228.636167
9.000000,2055.978259
9.166667,1931.245481
9.333333,1859.693407
9.500000,1834.624241
9.666667,1850.305901
9.833333,1897.859891
10.000000,1973.966066
10.166667,2079.251291
10.333333,2211.245831
10.500000,2367.414056
10.666667,2548.340231
10.833333,2751.205736
11.000000,2970.814061
11.166667,3720.814061
11.333333,3966.182441
11.500000,4222.071326
11.666667,4643.792100
11.833333,5393.792100
12.000000,6143.792100
12.166667,6893.792100
12.333333,7643.792100
12.500000,8393.792100
12.666667,9143.792100
12.833333,9417.888690
13.000000,9655.945155
13.166667,9874.201950
13.333333,10074.969975
13.500000,10253.853360
13.666667,10413.477195
13.833333,10550.043465
14.000000,10658.074995
14.166667,10737.108000
14.333333,10785.370380
14.500000,10800.000000
14.666667,10773.576259
14.833333,10698.776241
15.000000,10698.776241
15.166667,10800.000000
15.333333,10800.000000
15.500000,10800.000000
15.666667,10800.000000
15.833333,10800.000000
16.000000,10800.000000
16.166667,10800.000000
16.333333,10800.000000
16.500000,10800.000000
16.666667,10800.000000
16.833333,10800.000000
17.000000,10800.000000
17.166667,10800.000000
17.333333,10800.000000
17.500000,10800.000000
17.666667,10800.000000
17.833333,10800.000000
18.000000,10800.000000
18.166667,10678.591944
18.333333,10678.591944
18.500000,10678.591944
18.666667,10678.591944
18.833333,9895.664981
19.000000,9110.682722
19.166667,8324.675537
19.333333,7537.394426
19.500000,6749.120111
19.666667,5958.861833
19.833333,5168.125722
20.000000,4377.631241
20.166667,3584.626704
20.333333,2789.866537
20.500000,1995.170037
20.666667,1200.000000
20.833333,1200.000000
21.000000,1200.000000
21.166667,1200.000000
21.333333,1200.000000
21.500000,1200.000000
21.666667,1200.000000
21.833333,1200.000000
22.000000,1950.000000
22.166667,2700.000000
22.333333,2700.000000
22.500000,3450.000000
22.666667,4200.000000
22.833333,4200.000000
23.000000,4950.000000
23.166667,4950.000000
23.333333,5250.000000
23.500000,6000.000000
23.666667,6000.000000
23.833333,6000.000000
24.000000,6000.000000
